,state,act_participation,act_english,act_math,act_reading,act_science,act_composite,year
0,National,60.0,20.3,20.7,21.4,21.0,21.0,2017
1,Alabama,100.0,18.9,18.4,19.7,19.4,19.2,2017
2,Alaska,65.0,18.7,19.8,20.4,19.9,19.8,2017
3,Arizona,62.0,18.6,19.8,20.1,19.8,19.7,2017
4,Arkansas,100.0,18.9,19.0,19.7,19.5,19.4,2017
5,California,31.0,22.5,22.7,23.1,22.2,22.8,2017
6,Colorado,100.0,20.1,20.3,21.2,20.9,20.8,2017
7,Connecticut,31.0,25.5,24.6,25.6,24.6,25.2,2017
8,Delaware,18.0,24.1,23.4,24.8,23.6,24.1,2017
9,District of Columbia,32.0,24.4,23.5,24.9,23.5,24.2,2017
10,Florida,73.0,19.0,19.4,21.0,19.4,19.8,2017
11,Georgia,55.0,21.0,20.9,22.0,21.3,21.4,2017
12,Hawaii,90.0,17.8,19.2,19.2,19.3,19.0,2017
13,Idaho,38.0,21.9,21.8,23.0,22.1,22.3,2017
14,Illinois,93.0,21.0,21.2,21.6,21.3,21.4,2017
15,Indiana,35.0,22.0,22.4,23.2,22.3,22.6,2017
16,Iowa,67.0,21.2,21.3,22.6,22.1,21.9,2017
17,Kansas,73.0,21.1,21.3,22.3,21.7,21.7,2017
18,Kentucky,100.0,19.6,19.4,20.5,20.1,20.0,2017
19,Louisiana,100.0,19.4,18.8,19.8,19.6,19.5,2017
20,Maine,8.0,24.2,24.0,24.8,23.7,24.3,2017
21,Maryland,28.0,23.3,23.1,24.2,2.3,23.6,2017
22,Massachusetts,29.0,25.4,25.3,25.9,24.7,25.4,2017
23,Michigan,29.0,24.1,23.7,24.5,23.8,24.1,2017
24,Minnesota,100.0,20.4,21.5,21.8,21.6,21.5,2017
25,Mississippi,100.0,18.2,18.1,18.8,18.8,18.6,2017
26,Missouri,100.0,19.8,19.9,20.8,20.5,20.4,2017
27,Montana,100.0,19.0,20.2,21.0,20.5,20.3,2017
28,Nebraska,84.0,20.9,20.9,21.9,21.5,21.4,2017
29,Nevada,100.0,16.3,18.0,18.1,18.2,17.8,2017
30,New Hampshire,18.0,25.4,25.1,26.0,24.9,25.5,2017
31,New Jersey,34.0,23.8,23.8,24.1,23.2,23.9,2017
32,New Mexico,66.0,18.6,19.4,20.4,20.0,19.7,2017
33,New York,31.0,23.8,24.0,24.6,23.9,24.2,2017
34,North Carolina,100.0,17.8,19.3,19.6,19.3,19.1,2017
35,North Dakota,98.0,19.0,20.4,20.5,20.6,20.3,2017
36,Ohio,75.0,21.2,21.6,22.5,22.0,22.0,2017
37,Oklahoma,100.0,18.5,18.8,20.1,19.6,19.4,2017
38,Oregon,40.0,21.2,21.5,22.4,21.7,21.8,2017
39,Pennsylvania,23.0,23.4,23.4,24.2,23.3,23.7,2017
40,Rhode Island,21.0,24.0,23.3,24.7,23.4,24.0,2017
41,South Carolina,100.0,17.5,18.6,19.1,18.9,18.7,2017
42,South Dakota,80.0,20.7,21.5,22.3,22.0,21.8,2017
43,Tennessee,100.0,19.5,19.2,20.1,19.9,19.8,2017
44,Texas,45.0,19.5,20.7,21.1,20.9,20.7,2017
45,Utah,100.0,19.5,19.9,20.8,20.6,20.3,2017
46,Vermont,29.0,23.3,23.1,24.4,23.2,23.6,2017
47,Virginia,29.0,23.5,23.3,24.6,23.5,23.8,2017
48,Washington,29.0,20.9,21.9,22.1,22.0,21.9,2017
49,West Virginia,69.0,20.0,19.4,21.2,20.5,20.4,2017
50,Wisconsin,100.0,19.7,20.4,20.6,20.9,20.5,2017
51,Wyoming,100.0,19.4,19.8,20.8,20.6,20.2,2017
52,Alabama,100.0,,,,,19.1,2018
53,Alaska,33.0,,,,,20.8,2018
54,Arizona,66.0,,,,,19.2,2018
55,Arkansas,100.0,,,,,19.4,2018
56,California,27.0,,,,,22.7,2018
57,Colorado,30.0,,,,,23.9,2018
58,Connecticut,26.0,,,,,25.6,2018
59,Delaware,17.0,,,,,23.8,2018
60,District of columbia,32.0,,,,,23.6,2018
61,Florida,66.0,,,,,19.9,2018
62,Georgia,53.0,,,,,21.4,2018
63,Hawaii,89.0,,,,,18.9,2018
64,Idaho,36.0,,,,,22.3,2018
65,Illinois,43.0,,,,,23.9,2018
66,Indiana,32.0,,,,,22.5,2018
67,Iowa,68.0,,,,,21.8,2018
68,Kansas,71.0,,,,,21.6,2018
69,Kentucky,100.0,,,,,20.2,2018
70,Louisiana,100.0,,,,,19.2,2018
71,Maine,7.0,,,,,24.0,2018
72,Maine,7.0,,,,,24.0,2018
73,Maryland,31.0,,,,,22.5,2018
74,Massachusetts,25.0,,,,,25.5,2018
75,Michigan,22.0,,,,,24.2,2018
76,Minnesota,99.0,,,,,21.3,2018
77,Mississippi,100.0,,,,,18.6,2018
78,Missouri,100.0,,,,,20.0,2018
79,Montana,100.0,,,,,20.0,2018
80,Nebraska,100.0,,,,,20.1,2018
81,Nevada,100.0,,,,,17.7,2018
82,New Hampshire,16.0,,,,,25.1,2018
83,New Jersey,31.0,,,,,23.7,2018
84,New Mexico,67.0,,,,,19.4,2018
85,New York,27.0,,,,,24.5,2018
86,North Carolina,100.0,,,,,19.1,2018
87,North Dakota,98.0,,,,,20.3,2018
88,Ohio,100.0,,,,,20.3,2018
89,Oklahoma,100.0,,,,,19.3,2018
90,Oregon,42.0,,,,,21.3,2018
91,Pennsylvania,20.0,,,,,23.5,2018
92,Rhode Island,15.0,,,,,24.2,2018
93,South Carolina,100.0,,,,,18.3,2018
94,South Dakota,77.0,,,,,21.9,2018
95,Tennessee,100.0,,,,,19.6,2018
96,Texas,45.0,,,,,20.7,2018
97,Utah,100.0,,,,,20.4,2018
98,Vermont,24.0,,,,,24.1,2018
99,Virginia,24.0,,,,,23.9,2018
100,Washington,24.0,,,,,22.2,2018
101,West Virginia,65.0,,,,,20.3,2018
102,Wisconsin,100.0,,,,,20.5,2018
103,Wyoming,100.0,,,,,20.0,2018
104,Alabama,100.0,,,,,18.9,2019
105,Alaska,38.0,,,,,20.1,2019
106,Arizona,73.0,,,,,19.0,2019
107,Arkansas,100.0,,,,,19.3,2019
108,California,23.0,,,,,22.6,2019
109,Colorado,27.0,,,,,23.8,2019
110,Connecticut,22.0,,,,,25.5,2019
111,Delaware,13.0,,,,,24.1,2019
112,District of Columbia,32.0,,,,,23.5,2019
113,Florida,54.0,,,,,20.1,2019
114,Georgia,49.0,,,,,21.4,2019
115,Hawaii,80.0,,,,,19.0,2019
116,Idaho,31.0,,,,,22.5,2019
117,Illinois,35.0,,,,,24.3,2019
