,state,sat_participation,sat_evidence_based_reading_and_writing,sat_math,sat_total,year
0,Alabama,5.0,593,572,1165,2017
1,Alaska,38.0,547,533,1080,2017
2,Arizona,30.0,563,553,1116,2017
3,Arkansas,3.0,614,594,1208,2017
4,California,53.0,531,524,1055,2017
5,Colorado,11.0,606,595,1201,2017
6,Connecticut,100.0,530,512,1041,2017
7,Delaware,100.0,503,492,996,2017
8,District of Columbia,100.0,482,468,950,2017
9,Florida,83.0,520,497,1017,2017
10,Georgia,61.0,535,515,1050,2017
11,Hawaii,55.0,544,541,1085,2017
12,Idaho,93.0,513,493,1005,2017
13,Illinois,9.0,559,556,1115,2017
14,Indiana,63.0,542,532,1074,2017
15,Iowa,2.0,641,635,1275,2017
16,Kansas,4.0,632,628,1260,2017
17,Kentucky,4.0,631,616,1247,2017
18,Louisiana,4.0,611,586,1198,2017
19,Maine,95.0,513,499,1012,2017
20,Maryland,69.0,536,200,1060,2017
21,Massachusetts,76.0,555,551,1107,2017
22,Michigan,100.0,509,495,1005,2017
23,Minnesota,3.0,644,651,1295,2017
24,Mississippi,2.0,634,607,1242,2017
25,Missouri,3.0,640,631,1271,2017
26,Montana,10.0,605,591,1196,2017
27,Nebraska,3.0,629,625,1253,2017
28,Nevada,26.0,563,553,1116,2017
29,New Hampshire,96.0,532,520,1052,2017
30,New Jersey,70.0,530,526,1056,2017
31,New Mexico,11.0,577,561,1138,2017
32,New York,67.0,528,523,1052,2017
33,North Carolina,49.0,546,535,1081,2017
34,North Dakota,2.0,635,621,1256,2017
35,Ohio,12.0,578,570,1149,2017
36,Oklahoma,7.0,530,517,1047,2017
37,Oregon,43.0,560,548,1108,2017
38,Pennsylvania,65.0,540,531,1071,2017
39,Rhode Island,71.0,539,524,1062,2017
40,South Carolina,50.0,543,521,1064,2017
41,South Dakota,3.0,612,603,1216,2017
42,Tennessee,5.0,623,604,1228,2017
43,Texas,62.0,513,507,1020,2017
44,Utah,3.0,624,614,1238,2017
45,Vermont,60.0,562,551,1114,2017
46,Virginia,65.0,561,541,1102,2017
47,Washington,64.0,541,534,1075,2017
48,West Virginia,14.0,558,528,1086,2017
49,Wisconsin,3.0,642,649,1291,2017
50,Wyoming,3.0,626,604,1230,2017
51,Alabama,6.0,595,571,1166,2018
52,Alaska,43.0,562,544,1106,2018
53,Arizona,29.0,577,572,1149,2018
54,Arkansas,5.0,592,576,1169,2018
55,California,60.0,540,536,1076,2018
56,Colorado,100.0,519,506,1025,2018
57,Connecticut,100.0,535,519,1053,2018
58,Delaware,100.0,505,492,998,2018
59,District of Columbia,92.0,497,480,977,2018
60,Florida,56.0,550,549,1099,2018
61,Georgia,70.0,542,522,1064,2018
62,Hawaii,56.0,480,530,1010,2018
63,Idaho,100.0,508,493,1001,2018
